Region,Year,Land_Cover_Type,Area_sq_km,NDVI,Population_Density,Temperature_Anomaly
Arctic,2001,Forest,3254.9646953038477,0.48449126868513626,0.9607189260420663,2.386881225295543
Africa,2006,Water,5921.290080651458,0.7948815024257948,47.0025818420339,-0.02633619535201959
Asia,2008,Agriculture,3879.211068987511,0.7006303399968089,1.3572801020278709,0.6887040493303958
Arctic,2009,Barren Land,1421.0671830779163,0.32887820577489,20.344339445121694,2.9352217035249994
Europe,2017,Agriculture,7867.979344838101,0.2226233102083607,172.01832049279346,1.2645826906871505
Asia,2022,Water,3455.8441879307966,0.46757173160355936,236.7663924119328,-0.3134979282050372
Asia,2006,Agriculture,5616.516348871398,0.1887610477979953,345.2687259026494,0.523866605595339
Arctic,2006,Forest,2067.2102059966255,0.45229653582528945,13.660958449869874,2.83982928728034
South America,2002,Wetlands,4593.0209190792475,0.3328345651518009,70.17690828816421,-0.11833343182012836
Europe,2011,Agriculture,3637.0656800475044,0.7134926913992751,150.6689909356946,-0.719161695116565
Arctic,2006,Urban,1560.9874705642014,0.15033262264142444,0.2715553591772638,2.1435781870551462
Europe,2016,Water,3292.76124738713,0.8139968779292327,530.6121856314945,-0.6057315315335446
Europe,2000,Agriculture,2565.562360027598,0.7030640627902107,145.21922866088087,-0.70422809385057
Asia,2004,Water,2781.6052869581445,0.551783200405905,292.48464696274425,0.22013390815337808
Africa,2015,Wetlands,9489.461224807797,0.578547931781357,141.34902678960208,-0.18831631822276296
Europe,2014,Forest,3009.319841969064,0.42775898574971444,286.2074285018822,0.1755218947298227
Australia,2001,Urban,6063.933340515643,0.09663878124494252,233.24272365657257,-1.5512265683702238
Asia,2008,Barren Land,4912.522984536462,0.20450896385902412,70.17010837946636,-0.17554712923635513
South America,2006,Agriculture,3569.4262725574486,0.24561881689341716,294.50810783530096,-2.260264901806472
Africa,2003,Forest,9864.743804375668,1.0165938119067335,41.79947699131415,-1.0454701746364303
Australia,2019,Water,6222.695274475486,0.23154660336054703,196.8050452934409,-0.08893355146471844
Australia,2017,Wetlands,3575.1566799776365,0.6789899559428398,381.75908010221684,1.2131225647568318
South America,2020,Water,3780.6295451047076,0.24770283465177975,238.9281065851999,0.5368508611669277
Africa,2003,Wetlands,9937.377033394134,0.8802318161726189,493.7359595484728,0.0902768682178255
Asia,2012,Wetlands,5133.693030410488,0.39326762838055795,95.715740522042,-0.37674497185854394
North America,2000,Forest,7812.985023321339,0.5156509718679071,15.015124332405248,-0.2505924612532481
Africa,2023,Agriculture,4441.3826623259365,0.4236092630257231,20.735184134335416,1.3057791978795394
South America,2002,Barren Land,1203.1460464269865,0.7531673472481669,93.88990699699212,-1.1063485961704482
Australia,2015,Agriculture,1849.722354127214,0.27463241979368763,157.1059373419928,-0.7255382605615397
Asia,2021,Urban,513.9452332846105,0.3059279154898014,231.3359930878685,1.0667554098671448
Africa,2003,Agriculture,2620.8015907199156,0.6256470835536649,510.27081222370623,-0.34392714670174596
North America,2024,Wetlands,5094.514695369551,0.27622413423754,549.0431127947846,1.9390859861068257
North America,2022,Wetlands,2998.8104784876696,0.15232603667272857,354.93844534940075,0.690699883972354
Europe,2024,Urban,1549.7957736017772,0.2879976132604668,186.64391254138653,1.154957063340572
Europe,2015,Water,2108.408656654658,0.2751704366529494,92.15612568750855,-1.625627520802594
Arctic,2018,Wetlands,4069.0277544294204,0.40562673188913195,16.748122842559297,3.0594266227829574
South America,2000,Urban,2198.610151674997,0.08153128875671652,95.81215895711603,-0.849389683248919
Africa,2004,Wetlands,4112.546627314644,0.5930916518460018,352.5830096909455,0.7157645702414513
Africa,2018,Barren Land,1202.132250120179,0.6537347149772089,613.7589004007186,-0.36370130066304696
Arctic,2021,Wetlands,7197.78134199871,0.31308096582288764,21.90608477436697,2.2228034185605328
Australia,2023,Forest,7898.622460859078,0.4233886219164043,14.077006839774004,-1.1062302816536052
Australia,2010,Urban,1624.3837172683493,0.3201675274305499,842.7689801101334,-1.720580399233776
Arctic,2012,Agriculture,2490.952478454374,0.3579221266994989,10.45627216297787,2.1505564304593
Australia,2019,Urban,444.13893323339107,0.20326602931880988,737.8079486098098,-0.29379989243230914
Europe,2004,Water,6798.926375954386,0.582634422350759,503.10359490123426,-0.8937956233489198
Africa,2020,Wetlands,1574.298416540475,0.5530969815578989,191.85970395308993,-1.6820499880076791
Arctic,2003,Urban,3180.099052744892,0.17147177237526803,1.7512472087054338,-0.6750540282353179
Africa,2003,Barren Land,2017.8476285064928,0.8171305894234314,1062.3000834193708,0.5235592307851036
North America,2003,Urban,3236.464106333758,0.11535913124994242,322.8090587633059,-0.2550648202731272
Europe,2003,Barren Land,5934.134273331077,0.31020782217203613,86.16624668895369,-0.6038649716441735
Asia,2019,Wetlands,4889.485576733298,0.8851504577059459,228.77246046400583,0.21281150484649686
Europe,2020,Agriculture,5148.794093267321,0.28924856156229495,302.6620601303293,1.0144042602962138
Arctic,2017,Wetlands,937.9934828412278,0.4313917297930381,7.711068368212496,2.2695665269206384
Asia,2017,Water,3117.6113462265116,0.6198029640773961,29.462678080667207,-0.4431290232228801
North America,2015,Forest,11280.553207461198,0.1681050614794249,93.37347083817035,2.1324884951166876
Arctic,2008,Agriculture,3894.403031415332,0.18429087978433345,1.4631889797608593,1.3642473175100265
South America,2017,Agriculture,3327.883971312123,0.4809232575303133,21.766856348093697,-1.4096309072584738
Africa,2021,Forest,3992.188223797952,0.9197691757924337,61.30663352659679,0.09981563771960583
North America,2001,Urban,3633.0069609423904,0.14514733224811255,51.737402014133295,-0.2555607857101847
Africa,2020,Wetlands,4841.818299908249,0.34846264969963714,102.58364713215646,0.9470942432760785
Australia,2003,Urban,10012.320180133796,0.33448424288917256,831.4371233441395,-0.5262886910748877
South America,2011,Urban,5684.075355283857,0.06529099052837553,257.2792318383324,-0.16515390654818293
South America,2006,Wetlands,2941.036226770867,0.5412169717719963,164.7167418659162,-0.8657677512409321
North America,2014,Water,5488.862177821404,0.5033914158784827,248.89609962706018,0.8076585219272564
South America,2006,Agriculture,1739.9170060872448,0.14586780817800832,1.7183779423686043,0.1435699981840194
Asia,2021,Barren Land,3189.553422807545,0.1702073764154485,675.4162336400009,-0.2751847627420846
South America,2020,Forest,2198.392832423913,0.4866887356588845,227.98689354934288,-0.1499903660990867
Africa,2016,Agriculture,7852.847184450166,0.2073289754758248,216.30338012104454,-0.021310499156871835
Africa,2015,Urban,4523.494008885266,0.19298300942331392,1022.5701353778575,-1.4373609575866795
Arctic,2018,Forest,3594.2528983601574,0.3522666649954461,39.32537662052996,3.162708381575145
Africa,2008,Barren Land,4263.164974974004,0.6531173476023814,148.18148695120001,1.1040283117402268
Arctic,2013,Agriculture,4204.450101666027,0.2685880263683058,82.5400762726907,2.0406803894026737
Africa,2016,Agriculture,7938.75914756955,0.40372801271465,687.7897048821244,-0.06619044712575564
Asia,2004,Water,7914.989117248822,0.20380690128370846,927.2353594307439,-0.9966580131049155
Arctic,2001,Agriculture,2636.6529761002257,0.14899416592283102,3.035210029576746,3.727334962349704
Europe,2019,Agriculture,1418.3001640846803,0.43553734161268287,932.2331368370225,1.485454565000845
Australia,2015,Barren Land,4368.591079072676,0.8392915867218405,234.84466525830084,0.39439473340838577
North America,2013,Barren Land,1102.998027843964,0.26208046495551607,334.6192848443231,0.8200480866716071
Africa,2013,Forest,3863.4592597981095,0.5168104616953492,85.88174662002687,1.2304809678911859
South America,2000,Urban,834.7964112790879,0.27433883435969736,45.386954292026665,1.0274700549207774
Africa,2002,Barren Land,25852.54266434616,0.6641626816015156,29.777784104488003,-0.8561949714486008
South America,2006,Forest,7242.51071111434,1.0469688906949852,164.6169716951077,-0.31112649042248275
Australia,2014,Agriculture,6789.205465274869,0.2527210373437395,75.05788406860324,0.4681821859394662
Australia,2018,Forest,8180.303019967381,0.13585882713596337,25.54415936087048,0.2033249323084512
Australia,2019,Forest,6291.611068577005,0.42943033054771473,930.7694678587451,0.7530590690196768
South America,2001,Forest,3912.0850291872994,0.2637049079834074,396.5920202475686,0.6437254029922227
Africa,2018,Wetlands,5990.842807660229,0.5387752419068049,262.62336969809974,0.2469713282648185
Australia,2008,Forest,7656.6501618429065,0.9828278930402242,408.00965464307336,-2.603736706478307
Asia,2018,Barren Land,7999.009594871939,0.6505814663780343,283.60633510686347,1.1728362782908315
Arctic,2004,Wetlands,1532.0211736656297,0.10431954254004996,5.881636099038065,2.8390358157489617
South America,2017,Urban,2951.8196469149966,0.07714880780655599,301.07500781289747,2.0692141289193806
South America,2015,Forest,3502.1131336596945,0.9949918207444102,342.7807911972534,-0.47749758557158023
Africa,2003,Water,9636.787447919038,0.49008763991392035,97.60122990143985,-1.8429061299101606
South America,2011,Agriculture,1752.311298161443,0.8389383935914378,115.76256600783381,-0.18044834035986979
South America,2006,Agriculture,1590.8256679241103,0.6889741724344132,145.01210004224296,0.45668033887731735
Australia,2013,Wetlands,1020.087479153894,0.8946787685083207,276.803305290195,-0.44203886185948993
Africa,2022,Agriculture,3346.62418195839,0.7969821941287787,48.815926381052805,1.371793668092127
Australia,2011,Agriculture,2551.701075688276,0.4313697538094442,408.1623988585503,-0.660139485081315
Arctic,2002,Wetlands,9175.894882462204,0.3532911310206362,12.74055118417634,1.8991146765365174
Arctic,2004,Agriculture,5930.367107475484,0.238491266927978,35.30752561886455,1.7540100728398553
Australia,2016,Forest,6422.0548657696945,0.34374940137515003,810.4150123834938,2.7743114592800957
Arctic,2009,Urban,1375.012128713364,0.05856468140101752,61.17771112254784,1.0939223398824405
Africa,2009,Wetlands,4228.285944262194,0.41785771556945084,481.61279138900085,0.5837314711868383
North America,2010,Water,5430.054625037562,0.18917298080974032,64.45106310712973,-1.201207505159966
Australia,2016,Wetlands,3693.0408545277355,0.24221302791091512,395.1137494994364,0.34296474844778546
Asia,2004,Barren Land,4798.951259184997,0.5004869469760792,303.0069070816379,-0.9544671800577996
Asia,2012,Water,1037.459645436227,0.8631379818894448,444.24326250406176,1.099944565240973
South America,2009,Barren Land,3582.4566618067365,0.5621490736137801,609.3415536158369,0.9081286158176486
Arctic,2008,Wetlands,5633.543923657304,0.21339869967520897,11.196114488395722,2.271520256430547
Asia,2016,Barren Land,1418.6510191516497,0.29416025589544137,310.10371473715804,-1.391429471924784
South America,2000,Water,618.7312101041703,0.2567210437651525,96.53227279358458,-0.05320430226885978
North America,2003,Forest,1366.2606129396672,0.7520707482037398,127.52511281106753,-0.30413770347858865
Africa,2003,Wetlands,11384.424379751672,0.778660253937327,264.712636071568,0.8303928642472896
Africa,2017,Wetlands,1773.3213070848597,0.4190847411513309,205.0019713535208,-0.9024884128397099
Africa,2008,Agriculture,5061.383661911315,0.5405272370986263,330.4326535356456,1.155061481152446
Asia,2024,Wetlands,593.5811514688174,0.6653814089992311,426.5907256513746,0.9673870681534373
